label,folder_id,description
Invoices,1VnV7KqpF4iERn0al4CEt-rcUyxIyG6dG,"Vendor invoices, receipts, totals"
Academics,1e5vhz2_Ve-sF7WuBZYKFr6-WR-bHv1L0,"Transcripts, GPA, LORs, assignments"
IDs,1Enw-nFzkRGpY1vDIiXFXpiDDlgIUZV-Z,"Government IDs: passport, driver’s license, student ID"
Photos,1k2B20j2-LGKzWkRSScxwXPO24t5sHee7,Personal photos and scanned images
Tax Docs,1Q0d0sJjc8ivv5JC1kCJ-WAkoE3h_ce21,"W-2s, returns, 1099s, Form 16"
Offers & Letters,1NWOjn79wYBZ4jxT7Nib5ZibuEY3yanzS,"Offer letters, recommendation letters, HR docs"
Healthcare,1HUKHBsPXFmpgeRpHjgIc9BPmpSgA33Lc,"Medical reports, prescriptions, bills"
Work,1GnrhZDsDf7GYnBp6TGZBi5HyS2S279XX,"Work docs, resumes, portfolios, project files"
Misc,1wSlajOHupHB8DxgzHaNDWS6Q8fdwcmpZ,Catch-all for uncategorized documents
Code,1wSlajOHupHB8DxgzHaNDWS6Q8fdwcfth, Code files 
